Timestamp,eigenvector,pagerank,clustering,triangles,degree,degree_centrality,average_neighbor_degree,node_clique_number,number_of_cliques,nb_of_nodes,nb_of_edges,diameter,assortativity,percolation_limit,Evento,Label,Colector,Categoria
12,0.0012322620018270002,1.3984644859943793e-05,0.10245924980243701,1.903394073307508,3.506062343546785,4.903172242254896e-05,717.2874347762133,2.27107835596515,3.6655851874641643,71507,125354,13,-0.122149578085189,0.997848420490663,CERNET2021_Normal,0,rrc04,origin_hijacks
13,0.001232216077499,1.3984253730299682e-05,0.10247237149752501,1.9034527122460112,3.5059922527234333,4.9029370877712053e-05,717.2540627192284,2.271098742815589,3.6655805562936132,71509,125355,13,-0.12214836975765501,0.9978480547242141,CERNET2021_Normal,0,rrc04,origin_hijacks
14,0.00123213645412,1.3983862622533591e-05,0.102476184265694,1.904014766958929,3.506257778523584,4.9031712746798815e-05,717.2481481574343,2.271161080113549,3.665771699458824,71511,125368,13,-0.12215274243348101,0.9978483432450651,CERNET2021_Normal,0,rrc04,origin_hijacks
15,0.001232204376753,1.398425373029967e-05,0.10260937392956601,1.90858493336503,3.506495685857724,4.9036411112850654e-05,717.2964077966385,2.2715462389349588,3.667971863681494,71509,125373,13,-0.12214993307262001,0.997848145491474,CERNET2021_Normal,0,rrc04,origin_hijacks
16,0.001232474555714,1.3984058173682011e-05,0.10249906372292501,1.9007551391413782,3.5061669696545943,4.90311285244458e-05,716.9461559235033,2.271011047405957,3.6600615298559642,71510,125363,13,-0.12214070558194601,0.9978472635340571,CERNET2021_Normal,0,rrc04,origin_hijacks
17,0.00123243301467,1.3984058173681972e-05,0.10249697891473,1.901761991329884,3.506111033421899,4.903034629797508e-05,717.0060742060822,2.271234792336736,3.6587749965039853,71510,125361,13,-0.122145840727072,0.997847333254228,CERNET2021_Normal,0,rrc04,origin_hijacks
18,0.001232106968374,1.3984253730299694e-05,0.102661617286494,1.9090184452306702,3.506271937798039,4.903328211945573e-05,717.1186810203103,2.271811939755835,3.667440462039743,71509,125365,13,-0.12215854571173401,0.9978477708114281,CERNET2021_Normal,0,rrc04,origin_hijacks
19,0.0012320612135910001,1.3983862622533601e-05,0.10253613303912301,1.903735089706478,3.506257778523584,4.903171274679883e-05,717.0761010253857,2.2710631930751912,3.668148956104655,71511,125368,13,-0.12215012905540501,0.9978475713514781,CERNET2021_Normal,0,rrc04,origin_hijacks
20,0.001232143516362,1.3983276001901731e-05,0.10257698520373901,1.9039628604189391,3.506502223340884,4.9033074033265056e-05,717.0107424759212,2.271121738400872,3.668023044438851,71514,125382,13,-0.12213607567869701,0.9978473412985921,CERNET2021_Normal,0,rrc04,origin_hijacks
21,0.0012320374704360001,1.3983471536643682e-05,0.10257649238383101,1.904800525778529,3.506858892788723,4.903874724226317e-05,717.0040087520576,2.271209430453204,3.6674031295009293,71513,125393,13,-0.12213478474635502,0.9978474605113551,CERNET2021_Normal,0,rrc04,origin_hijacks
22,0.0012319861706710001,1.398327600190171e-05,0.102628954956479,1.9051514388791002,3.507005621276953,4.904011328397568e-05,717.0230868455441,2.271247587884889,3.668959923930978,71514,125400,13,-0.122134487676837,0.9978474331326731,CERNET2021_Normal,0,rrc04,origin_hijacks
